City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
123,Kaitangata,NZ,-46.2817,169.8464,49.95,65,100,7.11,light rain,2022-08-01 04:12:50
124,Asau,RO,46.4333,26.4,60.28,91,49,3.83,light rain,2022-08-01 04:12:51
125,Ler,SS,8.3018,30.1418,69.28,98,92,4.38,moderate rain,2022-08-01 04:12:51
126,Mahibadhoo,MV,3.7833,72.9667,81.91,73,99,20.09,overcast clouds,2022-08-01 04:12:52
127,Benghazi,LY,32.1167,20.0667,79.47,75,0,7.09,clear sky,2022-08-01 04:09:21
128,Menomonie,US,44.8755,-91.9193,71.64,94,75,5.75,broken clouds,2022-08-01 04:12:53
129,Rawson,AR,-43.3002,-65.1023,45.0,83,100,8.79,overcast clouds,2022-08-01 04:10:52
130,Wuhu,CN,31.3366,118.3755,92.19,58,14,2.44,few clouds,2022-08-01 04:12:54
131,Cidreira,BR,-30.1811,-50.2056,57.63,91,5,8.12,clear sky,2022-08-01 04:09:54
132,Acurenam,GQ,1.0322,10.6488,65.1,97,93,3.8,overcast clouds,2022-08-01 04:12:55
133,Kandrian,PG,-6.2167,149.55,85.6,64,70,12.3,broken clouds,2022-08-01 04:12:56
134,Pascagoula,US,30.3658,-88.5561,80.65,95,0,0.0,clear sky,2022-08-01 04:10:01
135,Bredasdorp,ZA,-34.5322,20.0403,41.32,85,0,3.96,clear sky,2022-08-01 04:10:01
136,Namatanai,PG,-3.6667,152.4333,84.96,69,96,12.17,overcast clouds,2022-08-01 04:12:57
137,Paamiut,GL,61.994,-49.6678,45.03,88,100,6.26,overcast clouds,2022-08-01 04:12:58
138,Kurilsk,RU,45.2333,147.8833,59.05,75,7,1.95,clear sky,2022-08-01 04:12:18
139,Saint-Georges,GD,12.0564,-61.7485,80.64,82,100,14.0,overcast clouds,2022-08-01 04:12:59
140,Campo Formoso,BR,-10.5075,-40.3214,62.94,94,5,7.43,clear sky,2022-08-01 04:13:00
141,Rodrigues Alves,BR,-7.738,-72.6509,75.97,79,78,2.73,broken clouds,2022-08-01 04:13:05
142,Vestmannaeyjar,IS,63.4427,-20.2734,48.74,77,76,15.5,broken clouds,2022-08-01 04:13:06
143,Umm Lajj,SA,25.0213,37.2685,85.44,52,37,4.61,scattered clouds,2022-08-01 04:13:07
144,Ribeira Grande,PT,38.5167,-28.7,73.45,75,13,8.32,few clouds,2022-08-01 04:11:36
145,Baiyin,CN,36.5583,104.2081,78.75,53,99,2.75,overcast clouds,2022-08-01 04:13:08
146,Nicoya,CR,10.1483,-85.452,75.02,84,34,5.28,scattered clouds,2022-08-01 04:13:09
147,Mandalgovi,MN,45.7625,106.2708,82.09,26,57,15.5,broken clouds,2022-08-01 04:13:09
148,Togul,RU,53.465,85.9128,71.31,70,83,6.8,broken clouds,2022-08-01 04:13:10
149,Castro,BR,-24.7911,-50.0119,51.48,80,0,2.19,clear sky,2022-08-01 04:13:10
150,Thinadhoo,MV,0.5333,72.9333,82.49,71,100,18.19,overcast clouds,2022-08-01 04:12:41
151,Dulmen,DE,51.8333,7.3,66.63,89,98,5.12,overcast clouds,2022-08-01 04:13:11
152,Flora,US,38.6689,-88.4856,73.69,97,0,3.44,mist,2022-08-01 04:11:07
153,Dingle,PH,10.9995,122.6711,85.32,71,100,4.34,overcast clouds,2022-08-01 04:13:13
154,Tilichiki,RU,60.4667,166.1,57.13,66,31,8.84,scattered clouds,2022-08-01 04:13:13
155,Sena Madureira,BR,-9.0656,-68.6569,76.73,69,63,2.19,broken clouds,2022-08-01 04:13:14
156,Nishihara,JP,26.1842,127.7558,82.45,83,100,16.11,shower rain,2022-08-01 04:13:14
